placekey,latitude,longitude,street_address,city,region,postal_code,phone_number,open_hours,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts,visits_by_day,distance_from_home,median_dwell,bucketed_dwell_times,related_same_day_brand,related_same_month_brand,popularity_by_hour,popularity_by_day,device_type
227-222@627-sd6-7dv,41.033266,-73.764426,250 Main St Ste 101,White Plains,NY,10601,19149484826,"{ ""Mon"": [[""10:45"", ""22:00""]], ""Tue"": [[""10:45"", ""22:00""]], ""Wed"": [[""10:45"", ""22:00""]], ""Thu"": [[""10:45"", ""22:00""]], ""Fri"": [[""10:45"", ""22:00""]], ""Sat"": [[""10:45"", ""22:00""]], ""Sun"": [[""10:45"", ""22:00""]] }",,,,,,,,,,,,,
zzw-223@5r8-fqv-xkf,36.140812,-95.968619,1623 E 15th St,Tulsa,OK,74120,19185829005,"{ ""Mon"": [[""10:45"", ""22:00""]], ""Tue"": [[""10:45"", ""22:00""]], ""Wed"": [[""10:45"", ""22:00""]], ""Thu"": [[""10:45"", ""22:00""]], ""Fri"": [[""10:45"", ""22:00""]], ""Sat"": [[""10:45"", ""22:00""]], ""Sun"": [[""10:45"", ""22:00""]] }",2021-07-01T00:00:00-05:00,2021-08-01T00:00:00-05:00,2,2,"[0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",,6,"{""<5"":0,""5-10"":2,""11-20"":0,""21-60"":0,""61-120"":0,""121-240"":0,"">240"":0}","{""Walmart"":50,""Buffalo Wild Wings"":50,""Sam's Club Fuel Center"":50,""QuikTrip"":50,""P.F. Chang's China Bistro"":50,""Pinot's Palette"":50}","{""Walmart"":100,""QuikTrip"":100,""Church's Chicken"":50,""RaceTrac"":50,""Whataburger"":50,""Braum's Ice Cream and Dairy Stores"":50,""Buffalo Wild Wings"":50,""Dollar General"":50,""Wendy's"":50,""Orangetheory Fitness"":50,""Sam's Club Fuel Center"":50,""P.F. Chang's China Bistro"":50,""O'Reilly Auto Parts"":50,""Whole Foods Market"":50,""Pinot's Palette"":50,""Walgreens"":50,""McAlister's Deli"":50,""Panda Express"":50,""Taco Mayo"":50,""Burger King"":50}","[0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0]","{""Monday"":0,""Tuesday"":0,""Wednesday"":1,""Thursday"":0,""Friday"":0,""Saturday"":1,""Sunday"":0}","{""android"":0,""ios"":0}"
227-222@5z6-96f-btv,33.728174,-116.403052,72333 Highway 111 Ste A,Palm Desert,CA,92260,17603461838,"{ ""Mon"": [[""10:30"", ""22:00""]], ""Tue"": [[""10:30"", ""22:00""]], ""Wed"": [[""10:30"", ""22:00""]], ""Thu"": [[""10:30"", ""22:00""]], ""Fri"": [[""10:30"", ""22:00""]], ""Sat"": [[""10:30"", ""22:00""]], ""Sun"": [[""10:30"", ""22:00""]] }",2021-07-01T00:00:00-07:00,2021-08-01T00:00:00-07:00,173,157,"[3,2,5,1,4,7,5,4,11,5,9,6,2,3,11,9,3,2,6,5,6,13,4,9,2,4,8,9,4,6,5]",12908,15,"{""<5"":4,""5-10"":72,""11-20"":26,""21-60"":62,""61-120"":8,""121-240"":1,"">240"":0}","{""McDonald's"":6,""Walmart"":5,""Starbucks"":5,""ARCO"":5,""Target"":4,""ALDI"":4,""Shell Oil"":4,""PetSmart"":3,""CVS"":3,""Petco"":2,""Hyatt Regency"":2,""Planet Fitness"":2,""Jack in the Box"":2,""Dutch Bros Coffee"":2,""Marshalls"":2,""Best Buy"":2,""Westfield"":2,""ULTA Beauty"":2,""Simon mall"":2,""Ross Stores"":2}","{""Starbucks"":56,""Walmart"":54,""McDonald's"":53,""Target"":48,""ARCO"":46,""Del Taco"":34,""Costco"":32,""Shell Oil"":30,""In-N-Out Burger"":29,""Ross Stores"":28,""Chevron"":27,""Walgreens"":25,""Chick-fil-A"":24,""Jack in the Box"":24,""Chevron Extra Mile"":23,""Westfield"":22,""7-Eleven"":21,""Subway"":21,""Taco Bell"":20,""PetSmart"":20}","[0,1,0,0,0,1,0,1,2,3,8,20,31,35,17,16,26,18,20,10,5,8,3,1]","{""Monday"":20,""Tuesday"":22,""Wednesday"":23,""Thursday"":35,""Friday"":32,""Saturday"":27,""Sunday"":14}","{""android"":65,""ios"":89}"
222-222@63v-v66-nqz,42.105398,-80.131653,2204 W 12th St,Erie,PA,16505,18144543464,"{ ""Mon"": [[""10:45"", ""22:00""]], ""Tue"": [[""10:45"", ""22:00""]], ""Wed"": [[""10:45"", ""22:00""]], ""Thu"": [[""10:45"", ""22:00""]], ""Fri"": [[""10:45"", ""22:00""]], ""Sat"": [[""10:45"", ""22:00""]], ""Sun"": [[""10:45"", ""22:00""]] }",2021-07-01T00:00:00-04:00,2021-08-01T00:00:00-04:00,452,344,"[11,17,11,3,25,30,22,13,19,11,8,19,10,18,11,13,15,18,21,11,15,8,15,5,17,18,14,11,11,12,20]",9199,10,"{""<5"":19,""5-10"":217,""11-20"":101,""21-60"":103,""61-120"":6,""121-240"":6,"">240"":0}","{""Country Fair"":16,""McDonald's"":10,""Walmart"":9,""Sheetz"":8,""Starbucks"":5,""Chick-fil-A"":5,""Taco Bell"":5,""GetGo"":4,""Wendy's"":4,""Target"":3,""Burger King"":3,""CVS"":3,""Dunkin'"":3,""Planet Fitness"":3,""Dollar General"":3,""Subway"":3,""KFC"":3,""Wegmans Food Markets"":3,""Rite Aid"":3,""Family Dollar Stores"":3}","{""Walmart"":68,""McDonald's"":67,""Country Fair"":61,""Sheetz"":53,""Dollar General"":40,""Chick-fil-A"":40,""Wendy's"":36,""Wegmans Food Markets"":35,""Taco Bell"":34,""GetGo"":34,""Starbucks"":33,""Target"":32,""Subway"":31,""Dairy Queen"":27,""Dunkin'"":27,""Dollar Tree"":25,""CVS"":25,""Burger King"":24,""Kwik Fill"":24,""Arby's"":23}","[0,0,0,0,0,0,0,1,1,3,4,26,66,71,46,34,41,61,59,57,58,37,1,0]","{""Monday"":83,""Tuesday"":65,""Wednesday"":66,""Thursday"":54,""Friday"":76,""Saturday"":62,""Sunday"":46}","{""android"":112,""ios"":230}"
224-222@5qw-jn9-3yv,32.915148,-97.313819,2901 Heritage Trace Pkwy Ste 101,Fort Worth,TX,76177,18177416480,"{ ""Mon"": [[""10:45"", ""22:00""]], ""Tue"": [[""10:45"", ""22:00""]], ""Wed"": [[""10:45"", ""22:00""]], ""Thu"": [[""10:45"", ""22:00""]], ""Fri"": [[""10:45"", ""22:00""]], ""Sat"": [[""10:45"", ""22:00""]], ""Sun"": [[""10:45"", ""22:00""]] }",2021-07-01T00:00:00-05:00,2021-08-01T00:00:00-05:00,486,419,"[12,14,13,8,12,24,8,24,18,16,16,19,15,23,13,19,10,13,18,10,21,12,16,17,20,17,15,16,13,13,21]",5374,9,"{""<5"":24,""5-10"":287,""11-20"":64,""21-60"":103,""61-120"":6,""121-240"":1,"">240"":1}","{""Walmart"":12,""Sonic"":7,""McDonald's"":7,""QuikTrip"":7,""Chick-fil-A"":6,""Starbucks"":6,""Target"":5,""7-Eleven"":4,""Exxon Mobil"":4,""Whataburger"":3,""Kroger"":3,""Taco Bell"":2,""CVS"":2,""Murphy USA"":2,""RaceTrac"":2,""Dick's Sporting Goods"":2,""WinCo Foods"":2,""Simon mall"":2,""Shell Oil"":2,""The Home Depot"":2}","{""Walmart"":79,""Chick-fil-A"":65,""McDonald's"":60,""Sonic"":58,""QuikTrip"":54,""Starbucks"":50,""Whataburger"":49,""Target"":47,""Exxon Mobil"":42,""7-Eleven"":42,""Kroger"":40,""Pizza Hut"":35,""Shell Oil"":32,""Taco Bell"":32,""Kroger Fuel Center"":30,""The Home Depot"":30,""Walgreens"":28,""CVS"":28,""RaceTrac"":26,""Valero Energy"":26}","[1,1,1,1,1,1,4,4,2,3,14,51,77,62,53,55,36,44,66,44,34,33,6,1]","{""Monday"":66,""Tuesday"":64,""Wednesday"":68,""Thursday"":74,""Friday"":80,""Saturday"":77,""Sunday"":57}","{""android"":164,""ios"":254}"
22r-222@5z4-zwb-q4v,34.061061,-118.446306,1077 Broxton Ave,Los Angeles,CA,90024,13108244180,"{ ""Mon"": [[""10:30"", ""22:00""]], ""Tue"": [[""10:30"", ""22:00""]], ""Wed"": [[""10:30"", ""22:00""]], ""Thu"": [[""10:30"", ""22:00""]], ""Fri"": [[""10:30"", ""22:00""]], ""Sat"": [[""10:30"", ""22:00""]], ""Sun"": [[""10:30"", ""22:00""]] }",2021-07-01T00:00:00-07:00,2021-08-01T00:00:00-07:00,9,6,"[0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1]",3979,23,"{""<5"":0,""5-10"":1,""11-20"":3,""21-60"":2,""61-120"":0,""121-240"":2,"">240"":1}","{""Chevron"":44,""Chevron Extra Mile"":33,""CAVA"":33,""Target"":11}","{""Starbucks"":83,""CAVA"":67,""Chevron"":50,""Trader Joe's"":33,""Target"":33,""Ross Stores"":33,""Costco Gasoline"":33,""Chick-fil-A"":33,""We Got It Food Mart"":33,""Panda Express"":33,""McDonald's"":33,""Chevron Extra Mile"":33,""In-N-Out Burger"":33,""Shell Oil"":33,""Subway"":33,""Golden Deli"":17,""Chili's Grill & Bar"":17,""85 Degrees C Bakery Cafe"":17,""The Camp Transformation Center"":17,""Poke Bar"":17}","[0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,4,1,1,2,2,1,1,1]","{""Monday"":2,""Tuesday"":0,""Wednesday"":0,""Thursday"":2,""Friday"":1,""Saturday"":2,""Sunday"":2}","{""android"":6,""ios"":5}"
224-222@5pb-ksr-wkz,44.947452,-93.321221,3040 Excelsior Blvd Ste 104,Minneapolis,MN,55416,16129226662,"{ ""Mon"": [[""10:45"", ""22:00""]], ""Tue"": [[""10:45"", ""22:00""]], ""Wed"": [[""10:45"", ""22:00""]], ""Thu"": [[""10:45"", ""22:00""]], ""Fri"": [[""10:45"", ""22:00""]], ""Sat"": [[""10:45"", ""22:00""]], ""Sun"": [[""10:45"", ""22:00""]] }",2021-07-01T00:00:00-05:00,2021-08-01T00:00:00-05:00,275,206,"[8,11,8,3,6,7,7,14,8,12,12,3,10,14,12,13,5,10,6,4,13,8,18,4,6,8,12,9,5,7,12]",9457,15,"{""<5"":11,""5-10"":105,""11-20"":49,""21-60"":89,""61-120"":9,""121-240"":4,"">240"":8}","{""Holiday Station"":12,""Target"":6,""Caribou Coffee"":5,""The Home Depot"":5,""BP"":4,""McDonald's"":3,""Lifetime Fitness"":3,""Subway"":3,""Walmart"":3,""Kwik Trip"":3,""Speedway"":3,""Starbucks"":3,""Whole Foods Market"":3,""Cub Foods"":3,""Costco"":2,""Walgreens"":2,""Noodles & Company"":2,""Shell Oil"":2,""Dollar Tree"":2,""Arby's"":2}","{""Holiday Station"":63,""Target"":60,""McDonald's"":53,""Speedway"":48,""Starbucks"":43,""Caribou Coffee"":42,""Subway"":39,""Walgreens"":34,""Walmart"":33,""Kwik Trip"":30,""Taco Bell"":30,""Dairy Queen"":30,""BP"":27,""Cub Foods"":27,""Simon mall"":25,""Chick-fil-A"":25,""The Home Depot"":20,""Culver's"":20,""Noodles & Company"":19,""Shell Oil"":18}","[4,5,6,4,4,5,7,8,8,13,15,48,47,36,25,19,17,24,35,27,30,21,9,4]","{""Monday"":23,""Tuesday"":33,""Wednesday"":43,""Thursday"":47,""Friday"":57,""Saturday"":41,""Sunday"":31}","{""android"":79,""ios"":129}"
zzw-222@5z6-2qw-brk,33.680716,-118.004326,7101 Yorktown Ave Ste 109,Huntington Beach,CA,92648,16572047171,"{ ""Mon"": [[""10:30"", ""22:00""]], ""Tue"": [[""10:30"", ""22:00""]], ""Wed"": [[""10:30"", ""22:00""]], ""Thu"": [[""10:30"", ""22:00""]], ""Fri"": [[""10:30"", ""22:00""]], ""Sat"": [[""10:30"", ""22:00""]], ""Sun"": [[""10:30"", ""22:00""]] }",2021-07-01T00:00:00-07:00,2021-08-01T00:00:00-07:00,42,40,"[1,2,1,2,1,0,2,1,0,0,2,0,2,4,4,0,2,1,1,1,1,3,2,0,3,2,2,0,1,0,1]",3235,22,"{""<5"":0,""5-10"":12,""11-20"":6,""21-60"":20,""61-120"":2,""121-240"":1,"">240"":1}","{""Walmart"":7,""Chevron"":7,""SOMISOMI Soft Serve & Taiyaki"":5,""The Home Depot"":5,""Starbucks"":5,""Costco"":5,""Dick's Sporting Goods"":5,""McDonald's"":5,""Chevron Extra Mile"":5,""Circle K Gas"":2,""Sonic"":2,""Fatburger"":2,""Hyatt Regency"":2,""Mendocino Farms"":2,""Pick Up Stix"":2,""Target"":2,""Green Burrito"":2,""Planet Fitness"":2,""King Taco Restaurants"":2,""Equinox Fitness Clubs"":2}","{""Starbucks"":65,""McDonald's"":48,""Target"":45,""ARCO"":45,""Chick-fil-A"":43,""In-N-Out Burger"":40,""Walmart"":38,""Chevron"":35,""The Home Depot"":33,""Del Taco"":30,""Ralphs"":28,""Subway"":28,""Jack in the Box"":20,""Mobil"":20,""76"":20,""Costco"":20,""Chevron Extra Mile"":20,""Michaels Stores"":18,""Baskin Robbins"":18,""BJ's Restaurants"":18}","[1,1,1,1,1,1,1,1,1,1,1,2,7,12,7,6,2,6,5,7,7,3,2,2]","{""Monday"":4,""Tuesday"":5,""Wednesday"":7,""Thursday"":10,""Friday"":4,""Saturday"":4,""Sunday"":8}","{""android"":18,""ios"":20}"
zzw-223@5pv-ygf-hwk,41.600457,-87.602411,559 W 162nd St,South Holland,IL,60473,17083318063,"{ ""Mon"": [[""10:45"", ""22:00""]], ""Tue"": [[""10:45"", ""22:00""]], ""Wed"": [[""10:45"", ""22:00""]], ""Thu"": [[""10:45"", ""22:00""]], ""Fri"": [[""10:45"", ""22:00""]], ""Sat"": [[""10:45"", ""22:00""]], ""Sun"": [[""10:45"", ""22:00""]] }",2021-07-01T00:00:00-05:00,2021-08-01T00:00:00-05:00,521,351,"[22,21,16,6,8,24,14,18,22,20,15,20,16,14,19,17,14,16,16,12,14,16,18,13,15,20,16,23,22,23,11]",5166,11,"{""<5"":23,""5-10"":220,""11-20"":85,""21-60"":83,""61-120"":23,""121-240"":49,"">240"":38}","{""McDonald's"":13,""Walgreens"":7,""Walmart"":6,""Jewel-Osco"":6,""Dunkin'"":4,""Starbucks"":4,""Wendy's"":4,""Subway"":4,""BP"":3,""Popeyes Louisiana Kitchen"":3,""Thorntons"":3,""ALDI"":3,""The Home Depot"":3,""Speedway"":3,""CITGO"":3,""Dollar Tree"":3,""Marathon"":2,""Family Dollar Stores"":2,""Mobil"":2,""Panera Bread"":2}","{""McDonald's"":79,""Walmart"":70,""Walgreens"":60,""Dunkin'"":48,""Dollar Tree"":46,""BP"":45,""Wendy's"":45,""Subway"":43,""Family Dollar Stores"":42,""Jewel-Osco"":40,""Shell Oil"":38,""White Castle"":38,""Popeyes Louisiana Kitchen"":37,""Mobil"":36,""CITGO"":34,""Starbucks"":33,""Thorntons"":32,""ALDI"":31,""Burger King"":31,""Speedway"":27}","[2,0,0,0,0,4,9,20,21,22,34,59,66,72,73,87,82,78,86,79,85,71,39,20]","{""Monday"":64,""Tuesday"":68,""Wednesday"":65,""Thursday"":97,""Friday"":101,""Saturday"":74,""Sunday"":52}","{""android"":174,""ios"":175}"
zzw-222@5sb-ddy-6ff,42.342304,-87.895811,940 S Waukegan Rd,Waukegan,IL,60085,18474065770,"{ ""Mon"": [[""10:45"", ""22:00""]], ""Tue"": [[""10:45"", ""22:00""]], ""Wed"": [[""10:45"", ""22:00""]], ""Thu"": [[""10:45"", ""22:00""]], ""Fri"": [[""10:45"", ""22:00""]], ""Sat"": [[""10:45"", ""22:00""]], ""Sun"": [[""10:45"", ""22:00""]] }",2021-07-01T00:00:00-05:00,2021-08-01T00:00:00-05:00,612,383,"[23,29,12,3,10,36,17,19,24,21,17,21,17,15,25,32,23,18,16,19,13,13,26,26,10,24,20,19,18,25,21]",6378,9,"{""<5"":29,""5-10"":316,""11-20"":81,""21-60"":96,""61-120"":19,""121-240"":33,"">240"":38}","{""McDonald's"":15,""Walmart"":15,""Simon mall"":7,""BP"":6,""Starbucks"":6,""Walgreens"":6,""Dunkin'"":4,""Wendy's"":4,""Shell Oil"":4,""Six Flags"":3,""Subway"":3,""Thorntons"":3,""Taco Bell"":3,""Mobil"":3,""Culver's"":3,""CITGO"":3,""Target"":2,""Panda Express"":2,""Marshalls"":2,""Dollar Tree"":2}","{""McDonald's"":75,""Walmart"":75,""Simon mall"":57,""BP"":52,""Walgreens"":52,""Starbucks"":42,""Target"":41,""Shell Oil"":39,""Wendy's"":35,""Mobil"":34,""Culver's"":34,""Taco Bell"":32,""Dunkin'"":31,""Jewel-Osco"":29,""Dollar Tree"":29,""Burger King"":26,""CITGO"":26,""Sam's Club"":26,""Speedway"":24,""The Home Depot"":22}","[3,3,1,1,1,2,6,18,39,43,64,108,138,94,91,94,76,72,66,56,70,45,17,6]","{""Monday"":71,""Tuesday"":92,""Wednesday"":64,""Thursday"":98,""Friday"":136,""Saturday"":103,""Sunday"":48}","{""android"":152,""ios"":227}"
224-222@5qv-tcp-h5z,33.127707,-96.733944,6111 Custer Rd Ste 100,Frisco,TX,75035,14698546471,"{ ""Mon"": [[""10:45"", ""22:00""]], ""Tue"": [[""10:45"", ""22:00""]], ""Wed"": [[""10:45"", ""22:00""]], ""Thu"": [[""10:45"", ""22:00""]], ""Fri"": [[""10:45"", ""22:00""]], ""Sat"": [[""10:45"", ""22:00""]], ""Sun"": [[""10:45"", ""22:00""]] }",2021-07-01T00:00:00-05:00,2021-08-01T00:00:00-05:00,704,568,"[17,22,19,13,24,30,18,21,24,23,20,18,19,14,31,20,18,12,28,17,21,17,37,22,20,33,29,24,42,28,23]",5282,11,"{""<5"":21,""5-10"":307,""11-20"":138,""21-60"":171,""61-120"":27,""121-240"":11,"">240"":29}","{""Walmart"":11,""McDonald's"":5,""Chick-fil-A"":5,""Target"":5,""Starbucks"":5,""Exxon Mobil"":5,""RaceTrac"":4,""QuikTrip"":4,""Subway"":4,""Whataburger"":3,""Sonic"":3,""7-Eleven"":3,""Raising Cane's"":2,""Valero Energy"":2,""CVS"":2,""Kroger"":2,""Freddy's Frozen Custard"":2,""PetSmart"":2,""Walgreens"":2,""Chili's Grill & Bar"":1}","{""Walmart"":67,""Chick-fil-A"":62,""McDonald's"":55,""Starbucks"":50,""Sonic"":49,""Target"":49,""CVS"":43,""Whataburger"":42,""Exxon Mobil"":42,""RaceTrac"":38,""7-Eleven"":37,""QuikTrip"":37,""Kroger"":31,""Taco Bell"":29,""Shell Oil"":29,""Subway"":28,""Walgreens"":27,""Valero Energy"":27,""Kroger Fuel Center"":27,""Simon mall"":26}","[5,2,2,2,1,1,12,21,26,27,38,92,128,117,81,68,78,87,107,78,84,73,18,8]","{""Monday"":103,""Tuesday"":95,""Wednesday"":77,""Thursday"":128,""Friday"":131,""Saturday"":105,""Sunday"":65}","{""android"":203,""ios"":365}"
zzw-225@63r-6bm-jn5,38.955779,-76.939898,5501 Baltimore Ave Ste 101,Hyattsville,MD,20781,13019272484,"{ ""Mon"": [[""10:45"", ""22:00""]], ""Tue"": [[""10:45"", ""22:00""]], ""Wed"": [[""10:45"", ""22:00""]], ""Thu"": [[""10:45"", ""22:00""]], ""Fri"": [[""10:45"", ""23:00""]], ""Sat"": [[""10:45"", ""23:00""]], ""Sun"": [[""10:45"", ""22:00""]] }",2021-07-01T00:00:00-04:00,2021-08-01T00:00:00-04:00,72,58,"[1,3,2,0,2,2,0,2,5,4,5,4,6,7,1,4,0,2,0,2,0,2,0,2,0,3,3,4,2,3,1]",4681,8,"{""<5"":3,""5-10"":50,""11-20"":11,""21-60"":6,""61-120"":2,""121-240"":0,"">240"":0}","{""7-Eleven"":17,""McDonald's"":13,""Exxon Mobil"":7,""Target"":6,""The Home Depot"":6,""Starbucks"":6,""Chick-fil-A"":6,""Shell Oil"":6,""Nando's"":4,""Taco Bell"":4,""Elevation Burger"":4,""Wendy's"":4,""Dunkin'"":4,""BP"":3,""Domino's Pizza"":3,""Five Below"":3,""Lidl"":3,""Mobil"":3,""Holiday Inn"":3,""Staples"":3}","{""7-Eleven"":69,""McDonald's"":69,""Starbucks"":55,""Exxon Mobil"":53,""Walmart"":48,""Target"":48,""Chick-fil-A"":47,""Shell Oil"":47,""Five Below"":45,""CVS"":43,""Taco Bell"":40,""The Home Depot"":33,""Wendy's"":33,""Dunkin'"":31,""BP"":29,""Walgreens"":29,""Royal Farms"":28,""AutoZone"":28,""Subway"":28,""Lowe's"":26}","[0,1,0,0,0,0,0,0,1,0,0,3,11,8,7,8,7,11,13,10,3,4,4,0]","{""Monday"":9,""Tuesday"":13,""Wednesday"":11,""Thursday"":8,""Friday"":15,""Saturday"":9,""Sunday"":7}","{""android"":27,""ios"":32}"
223-222@5qv-258-8gk,36.126472,-97.053388,415 E Hall of Fame Ave,Stillwater,OK,74075,14053721642,"{ ""Mon"": [[""10:45"", ""22:00""]], ""Tue"": [[""10:45"", ""22:00""]], ""Wed"": [[""10:45"", ""22:00""]], ""Thu"": [[""10:45"", ""22:00""]], ""Fri"": [[""10:45"", ""22:00""]], ""Sat"": [[""10:45"", ""22:00""]], ""Sun"": [[""10:45"", ""22:00""]] }",2021-07-01T00:00:00-05:00,2021-08-01T00:00:00-05:00,642,444,"[16,25,12,9,17,50,24,22,18,21,24,19,12,23,16,24,13,20,39,12,22,18,11,15,22,28,21,18,25,30,16]",8529,14,"{""<5"":29,""5-10"":259,""11-20"":76,""21-60"":217,""61-120"":15,""121-240"":34,"">240"":12}","{""Walmart"":17,""Sonic"":8,""OnCue"":7,""McDonald's"":6,""Chick-fil-A"":6,""T.J. Maxx"":5,""Braum's Ice Cream and Dairy Stores"":4,""Phillips 66"":3,""Starbucks"":3,""Planet Fitness"":3,""Academy Sports + Outdoors"":3,""Taco Bell"":2,""Arby's"":2,""Sprouts Farmers Market"":2,""Subway"":2,""Ross Stores"":2,""Tropical Smoothie Café"":2,""Chili's Grill & Bar"":2,""Whataburger"":2,""Dollar General"":2}","{""Walmart"":88,""Sonic"":66,""McDonald's"":62,""OnCue"":55,""Braum's Ice Cream and Dairy Stores"":54,""Chick-fil-A"":53,""Phillips 66"":44,""Dollar General"":32,""Taco Bell"":29,""T.J. Maxx"":29,""Subway"":27,""Starbucks"":26,""Academy Sports + Outdoors"":26,""Whataburger"":25,""Hobby Lobby Stores"":23,""Target"":23,""Wendy's"":22,""Walgreens"":22,""McAlister's Deli"":22,""Shell Oil"":20}","[4,4,4,4,4,4,4,4,10,21,23,84,126,110,61,62,68,73,72,71,89,49,20,5]","{""Monday"":103,""Tuesday"":95,""Wednesday"":87,""Thursday"":97,""Friday"":108,""Saturday"":77,""Sunday"":75}","{""android"":151,""ios"":294}"
245-222@5pb-ktg-ghq,44.924215,-93.41003,786 Mainstreet,Hopkins,MN,55343,19529350044,"{ ""Mon"": [[""10:45"", ""20:00""]], ""Tue"": [[""10:45"", ""20:00""]], ""Wed"": [[""10:45"", ""20:00""]], ""Thu"": [[""10:45"", ""20:00""]], ""Fri"": [[""10:45"", ""20:00""]], ""Sat"": [[""10:45"", ""20:00""]], ""Sun"": [[""10:45"", ""20:00""]] }",2021-07-01T00:00:00-05:00,2021-08-01T00:00:00-05:00,163,132,"[2,4,2,1,1,8,5,6,2,4,9,4,7,6,2,3,21,12,5,3,8,4,3,3,3,4,8,5,6,5,7]",8376,33,"{""<5"":4,""5-10"":28,""11-20"":26,""21-60"":54,""61-120"":13,""121-240"":12,"">240"":26}","{""Speedway"":7,""Target"":6,""Holiday Station"":6,""LA Fitness"":4,""Caribou Coffee"":3,""Dodge"":2,""Chrysler"":2,""Kwik Trip"":2,""Spencer's"":2,""Walgreens"":2,""Dairy Queen"":2,""Jeep"":2,""Ram"":2,""Tires Plus"":2,""McDonald's"":2,""Shell Oil"":2,""Dollar Tree"":2,""Anytime Fitness"":1,""Planet Fitness"":1,""Davanni's"":1}","{""Target"":62,""Holiday Station"":60,""McDonald's"":48,""Speedway"":42,""Caribou Coffee"":39,""Walgreens"":35,""Walmart"":33,""Kwik Trip"":27,""Starbucks"":27,""Culver's"":27,""Subway"":27,""Taco Bell"":24,""Dollar Tree"":23,""Dairy Queen"":23,""BP"":22,""Wendy's"":20,""The Home Depot"":20,""Costco"":20,""Chick-fil-A"":19,""Cub Foods"":18}","[8,7,8,8,8,8,8,8,17,18,28,41,54,53,51,39,26,25,30,13,13,10,9,9]","{""Monday"":14,""Tuesday"":26,""Wednesday"":24,""Thursday"":20,""Friday"":17,""Saturday"":37,""Sunday"":25}","{""android"":51,""ios"":80}"
224-222@8fc-9c3-5j9,30.08864,-95.521543,6615 N Grand Pkwy W Ste 300,Spring,TX,77389,18327170113,"{ ""Mon"": [[""10:45"", ""22:00""]], ""Tue"": [[""10:45"", ""22:00""]], ""Wed"": [[""10:45"", ""22:00""]], ""Thu"": [[""10:45"", ""22:00""]], ""Fri"": [[""10:45"", ""22:00""]], ""Sat"": [[""10:45"", ""22:00""]], ""Sun"": [[""10:45"", ""22:00""]] }",2021-07-01T00:00:00-05:00,2021-08-01T00:00:00-05:00,573,458,"[17,19,22,7,15,35,20,20,16,10,22,19,11,17,19,17,17,24,10,26,19,31,23,15,20,9,21,17,17,25,13]",5548,10,"{""<5"":19,""5-10"":268,""11-20"":80,""21-60"":189,""61-120"":10,""121-240"":4,"">240"":3}","{""Target"":8,""H-E-B"":7,""Chick-fil-A"":7,""Walmart"":7,""Starbucks"":5,""Whataburger"":4,""Shell Oil"":4,""Sonic"":4,""Ross Stores"":4,""Walgreens"":4,""Kroger Fuel Center"":3,""Taco Bell"":3,""McDonald's"":3,""Exxon Mobil"":3,""Chevron"":3,""T.J. Maxx"":3,""LA Fitness"":3,""Academy Sports + Outdoors"":3,""Five Guys"":2,""Timewise Food Store"":2}","{""Walmart"":68,""Chick-fil-A"":66,""H-E-B"":59,""Whataburger"":53,""Shell Oil"":51,""Target"":46,""Starbucks"":45,""Exxon Mobil"":44,""McDonald's"":42,""Sonic"":40,""Walgreens"":37,""Chevron"":37,""Taco Bell"":32,""Kroger Fuel Center"":32,""CVS"":32,""Timewise Food Store"":31,""Academy Sports + Outdoors"":31,""Kroger"":30,""Valero Energy"":29,""Subway"":28}","[4,1,1,1,1,1,1,3,3,9,27,48,76,82,62,50,57,69,66,88,59,29,9,5]","{""Monday"":53,""Tuesday"":93,""Wednesday"":73,""Thursday"":104,""Friday"":100,""Saturday"":77,""Sunday"":73}","{""android"":145,""ios"":313}"
